iter	Passed	Remaining
0	1	164
1	2	133
2	3	121
3	4	110
4	5	107
5	6	104
6	7	102
7	8	100
8	9	99
9	10	98
10	11	96
11	13	95
12	14	93
13	15	92
14	16	91
15	17	90
16	18	88
17	19	87
18	20	86
19	21	84
20	22	83
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	63
41	44	61
42	45	60
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	22
79	83	20
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
